case_id,mask_strategy,mask_intensity,seed,planner,target_granularity,support_ceiling,initial_granularity,final_granularity,reached_target,explicit_stop,correct_target_stop,correct_degrade_stop,correct_stop,ceiling_violation,cost_to_target,budget_used,steps_to_target,steps_taken,actions_taken,zero_yield_actions,overlap_waste_cost,initial_hidden_claims,recovered_claims,final_node_coverage,final_edge_coverage,final_critical_gap_count,initial_direct_over_attribution,oracle_cost_to_target,cost_regret_vs_oracle,oracle_top1_action_id,oracle_top1_action_hit,premature_stop,justified_degrade_stop
C11-otrf-apt29-day1-scranton-nashua,random,0.4,23,project05_m3a_gap_compat,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,6.0,6.0,3,3,C11-AA-001|C11-AA-005|C11-AA-003,1,1.7955,4,3,0.6,0.5,2,1,4.0,2.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,23,m1_no_granularity,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,4,3,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,23,m1_no_uncertainty,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,4,3,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,23,m1_no_risk,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,4,3,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,23,m1_no_coverage,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,4,3,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,23,m1_no_cost,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,4,3,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,23,cmi_proxy,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,4,3,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,23,oracle_optimal,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,4,3,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,23,full_evidence,G2_tactic_intent,G2_tactic_intent,G2_tactic_intent,G2_tactic_intent,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,0,0,0.8,0.75,1,0,,,,,,
C11-otrf-apt29-day1-scranton-nashua,random,0.4,37,random,G2_tactic_intent,G2_tactic_intent,G1_technique,G1_technique,0,1,0,0,0,0,,0.0,,1,STOP,0,0.0,4,0,0.2,0.0,4,1,5.0,,C11-AA-002,0,1,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,37,fixed_order,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,6.0,6.0,3,3,C11-AA-001|C11-AA-002|C11-AA-003,0,1.8,4,3,0.6,0.5,2,1,5.0,1.0,C11-AA-002,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,37,coverage_greedy,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-001|C11-AA-003|C11-AA-005|C11-AA-002,1,2.9773,4,3,0.6,0.5,2,1,5.0,3.0,C11-AA-002,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,37,project05_m1,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-001|C11-AA-003|C11-AA-005|C11-AA-002,1,2.9773,4,3,0.6,0.5,2,1,5.0,3.0,C11-AA-002,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,37,project05_m2,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,9.0,9.0,4,4,C11-AA-005|C11-AA-001|C11-AA-004|C11-AA-002,1,3.0455,4,3,0.6,0.25,2,1,5.0,4.0,C11-AA-002,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,37,project05_m3a_gap_compat,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-001|C11-AA-005|C11-AA-003|C11-AA-002,1,2.7955,4,3,0.6,0.5,2,1,5.0,3.0,C11-AA-002,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,37,m1_no_granularity,G2_tactic_intent,G2_tactic_intent,G1_technique,G1_technique,0,1,0,0,0,0,,4.0,,3,C11-AA-001|C11-AA-003|STOP,0,0.7273,4,2,0.4,0.25,3,1,5.0,,C11-AA-002,0,1,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,37,m1_no_uncertainty,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-001|C11-AA-003|C11-AA-005|C11-AA-002,1,2.9773,4,3,0.6,0.5,2,1,5.0,3.0,C11-AA-002,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,37,m1_no_risk,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-001|C11-AA-003|C11-AA-005|C11-AA-002,1,2.9773,4,3,0.6,0.5,2,1,5.0,3.0,C11-AA-002,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,37,m1_no_coverage,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-001|C11-AA-003|C11-AA-005|C11-AA-002,1,2.9773,4,3,0.6,0.5,2,1,5.0,3.0,C11-AA-002,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,37,m1_no_cost,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,7.0,7.0,3,3,C11-AA-001|C11-AA-003|C11-AA-004,0,2.0606,4,3,0.6,0.5,2,1,5.0,2.0,C11-AA-002,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,37,cmi_proxy,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-001|C11-AA-003|C11-AA-005|C11-AA-002,1,2.9773,4,3,0.6,0.5,2,1,5.0,3.0,C11-AA-002,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,37,oracle_optimal,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,5.0,5.0,2,2,C11-AA-002|C11-AA-004,0,0.5455,4,2,0.6,0.25,2,1,5.0,0.0,C11-AA-002,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,37,full_evidence,G2_tactic_intent,G2_tactic_intent,G2_tactic_intent,G2_tactic_intent,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,0,0,0.8,0.75,1,0,,,,,,
C11-otrf-apt29-day1-scranton-nashua,random,0.4,41,random,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-003|C11-AA-002|C11-AA-005|C11-AA-001,1,3.05,4,3,0.6,0.5,2,1,6.0,2.0,C11-AA-001,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,41,fixed_order,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,6.0,6.0,3,3,C11-AA-001|C11-AA-002|C11-AA-003,0,1.8,4,3,0.6,0.5,2,1,6.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,41,coverage_greedy,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-001|C11-AA-003|C11-AA-005|C11-AA-002,1,2.9773,4,3,0.6,0.5,2,1,6.0,2.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,41,project05_m1,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-001|C11-AA-003|C11-AA-005|C11-AA-002,1,2.9773,4,3,0.6,0.5,2,1,6.0,2.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,41,project05_m2,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,9.0,9.0,4,4,C11-AA-001|C11-AA-005|C11-AA-004|C11-AA-002,1,3.0455,4,3,0.6,0.25,2,1,6.0,3.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,41,project05_m3a_gap_compat,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-001|C11-AA-005|C11-AA-003|C11-AA-002,1,2.7955,4,3,0.6,0.5,2,1,6.0,2.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,41,m1_no_granularity,G2_tactic_intent,G2_tactic_intent,G0_unknown,G1_technique,0,1,0,0,0,0,,4.0,,3,C11-AA-001|C11-AA-003|STOP,0,0.7273,4,2,0.4,0.25,3,1,6.0,,C11-AA-001,1,1,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,41,m1_no_uncertainty,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-001|C11-AA-003|C11-AA-005|C11-AA-002,1,2.9773,4,3,0.6,0.5,2,1,6.0,2.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,41,m1_no_risk,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-001|C11-AA-003|C11-AA-005|C11-AA-002,1,2.9773,4,3,0.6,0.5,2,1,6.0,2.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,41,m1_no_coverage,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-001|C11-AA-003|C11-AA-005|C11-AA-002,1,2.9773,4,3,0.6,0.5,2,1,6.0,2.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,41,m1_no_cost,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,7.0,7.0,3,3,C11-AA-001|C11-AA-003|C11-AA-004,0,2.0606,4,3,0.6,0.5,2,1,6.0,1.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,41,cmi_proxy,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-001|C11-AA-003|C11-AA-005|C11-AA-002,1,2.9773,4,3,0.6,0.5,2,1,6.0,2.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,41,oracle_optimal,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,6.0,6.0,3,3,C11-AA-001|C11-AA-002|C11-AA-003,0,1.8,4,3,0.6,0.5,2,1,6.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,41,full_evidence,G2_tactic_intent,G2_tactic_intent,G2_tactic_intent,G2_tactic_intent,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,0,0,0.8,0.75,1,0,,,,,,
C11-otrf-apt29-day1-scranton-nashua,random,0.4,53,random,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,7.0,7.0,3,3,C11-AA-005|C11-AA-003|C11-AA-004,0,2.75,4,3,0.6,0.25,2,1,4.0,3.0,C11-AA-001,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,53,fixed_order,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,6.0,6.0,3,3,C11-AA-001|C11-AA-002|C11-AA-003,1,1.8,4,2,0.6,0.5,2,1,4.0,2.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,53,coverage_greedy,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,4,2,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,53,project05_m1,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,4,2,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,53,project05_m2,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,7.0,7.0,3,3,C11-AA-003|C11-AA-004|C11-AA-005,0,2.5833,4,3,0.6,0.25,2,1,4.0,3.0,C11-AA-001,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,53,project05_m3a_gap_compat,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,6.0,6.0,3,3,C11-AA-003|C11-AA-005|C11-AA-001,0,1.9773,4,3,0.6,0.5,2,1,4.0,2.0,C11-AA-001,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,53,m1_no_granularity,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,4,2,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,53,m1_no_uncertainty,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,4,2,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,53,m1_no_risk,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,4,2,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,53,m1_no_coverage,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,4,2,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,53,m1_no_cost,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,4,2,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,53,cmi_proxy,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,4,2,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,53,oracle_optimal,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,4,2,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.4,53,full_evidence,G2_tactic_intent,G2_tactic_intent,G2_tactic_intent,G2_tactic_intent,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,0,0,0.8,0.75,1,0,,,,,,
C11-otrf-apt29-day1-scranton-nashua,random,0.6,11,random,G2_tactic_intent,G2_tactic_intent,G1_technique,G1_technique,0,1,0,0,0,0,,3.0,,2,C11-AA-004|STOP,0,0.0,5,1,0.2,0.0,4,1,4.0,,C11-AA-001,0,1,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,11,fixed_order,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,6.0,6.0,3,3,C11-AA-001|C11-AA-002|C11-AA-003,1,1.8,5,3,0.6,0.5,2,1,4.0,2.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,11,coverage_greedy,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,3,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,11,project05_m1,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,3,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,11,project05_m2,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,7.0,7.0,3,3,C11-AA-003|C11-AA-004|C11-AA-005,0,2.5833,5,4,0.6,0.25,2,1,4.0,3.0,C11-AA-001,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,11,project05_m3a_gap_compat,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,6.0,6.0,3,3,C11-AA-003|C11-AA-005|C11-AA-001,0,1.9773,5,4,0.6,0.5,2,1,4.0,2.0,C11-AA-001,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,11,m1_no_granularity,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,3,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,11,m1_no_uncertainty,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,3,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,11,m1_no_risk,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,3,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,11,m1_no_coverage,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,3,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,11,m1_no_cost,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,3,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,11,cmi_proxy,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,3,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,11,oracle_optimal,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,3,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,11,full_evidence,G2_tactic_intent,G2_tactic_intent,G2_tactic_intent,G2_tactic_intent,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,0,0,0.8,0.75,1,0,,,,,,
C11-otrf-apt29-day1-scranton-nashua,random,0.6,23,random,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-003|C11-AA-001,0,0.7273,5,4,0.6,0.5,2,1,4.0,0.0,C11-AA-001,0,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,23,fixed_order,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,6.0,6.0,3,3,C11-AA-001|C11-AA-002|C11-AA-003,1,1.8,5,4,0.6,0.5,2,1,4.0,2.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,23,coverage_greedy,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,4,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,23,project05_m1,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,4,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,23,project05_m2,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,7.0,7.0,3,3,C11-AA-001|C11-AA-005|C11-AA-004,1,2.0455,5,4,0.6,0.25,2,1,4.0,3.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,23,project05_m3a_gap_compat,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,6.0,6.0,3,3,C11-AA-001|C11-AA-005|C11-AA-003,1,1.7955,5,4,0.6,0.5,2,1,4.0,2.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,23,m1_no_granularity,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,4,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,23,m1_no_uncertainty,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,4,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,23,m1_no_risk,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,4,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,23,m1_no_coverage,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,4,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,23,m1_no_cost,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,4,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,23,cmi_proxy,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,4,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,23,oracle_optimal,G2_tactic_intent,G2_tactic_intent,G0_unknown,G2_tactic_intent,1,0,1,0,1,0,4.0,4.0,2,2,C11-AA-001|C11-AA-003,0,0.7273,5,4,0.6,0.5,2,1,4.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,23,full_evidence,G2_tactic_intent,G2_tactic_intent,G2_tactic_intent,G2_tactic_intent,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,0,0,0.8,0.75,1,0,,,,,,
C11-otrf-apt29-day1-scranton-nashua,random,0.6,37,random,G2_tactic_intent,G2_tactic_intent,G1_technique,G1_technique,0,1,0,0,0,0,,0.0,,1,STOP,0,0.0,5,0,0.2,0.0,4,1,6.0,,C11-AA-001,0,1,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,37,fixed_order,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,6.0,6.0,3,3,C11-AA-001|C11-AA-002|C11-AA-003,0,1.8,5,4,0.6,0.5,2,1,6.0,0.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,37,coverage_greedy,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-001|C11-AA-003|C11-AA-005|C11-AA-002,1,2.9773,5,4,0.6,0.5,2,1,6.0,2.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,37,project05_m1,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,8.0,8.0,4,4,C11-AA-001|C11-AA-003|C11-AA-005|C11-AA-002,1,2.9773,5,4,0.6,0.5,2,1,6.0,2.0,C11-AA-001,1,0,0
C11-otrf-apt29-day1-scranton-nashua,random,0.6,37,project05_m2,G2_tactic_intent,G2_tactic_intent,G1_technique,G2_tactic_intent,1,0,1,0,1,0,9.0,9.0,4,4,C11-AA-005|C11-AA-001|C11-AA-004|C11-AA-002,1,3.0455,5,4,0.6,0.25,2,1,6.0,3.0,C11-AA-001,0,0,0
