case_id,mask_strategy,mask_intensity,seed,planner,target_granularity,support_ceiling,initial_granularity,final_granularity,reached_target,explicit_stop,correct_target_stop,correct_degrade_stop,correct_stop,ceiling_violation,cost_to_target,budget_used,steps_to_target,steps_taken,actions_taken,zero_yield_actions,overlap_waste_cost,initial_hidden_claims,recovered_claims,final_node_coverage,final_edge_coverage,final_critical_gap_count,initial_direct_over_attribution,oracle_cost_to_target,cost_regret_vs_oracle,oracle_top1_action_id,oracle_top1_action_hit,premature_stop,justified_degrade_stop
C12-witfoo-precinct6-f10c7270,random,0.4,37,cmi_proxy,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,37,oracle_optimal,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,37,full_evidence,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,0,0,0.75,0.6667,1,0,,,,,,
C12-witfoo-precinct6-f10c7270,random,0.4,41,random,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,41,fixed_order,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,41,coverage_greedy,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,41,project05_m1,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,41,project05_m2,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,41,project05_m3a_gap_compat,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,41,m1_no_granularity,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,41,m1_no_uncertainty,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,41,m1_no_risk,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,41,m1_no_coverage,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,41,m1_no_cost,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,41,cmi_proxy,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,41,oracle_optimal,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,41,full_evidence,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,0,0,0.75,0.6667,1,0,,,,,,
C12-witfoo-precinct6-f10c7270,random,0.4,53,random,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,53,fixed_order,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,53,coverage_greedy,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,53,project05_m1,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,53,project05_m2,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,53,project05_m3a_gap_compat,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,53,m1_no_granularity,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,53,m1_no_uncertainty,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,53,m1_no_risk,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,53,m1_no_coverage,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,53,m1_no_cost,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,53,cmi_proxy,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,53,oracle_optimal,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.4,53,full_evidence,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,0,0,0.75,0.6667,1,0,,,,,,
C12-witfoo-precinct6-f10c7270,random,0.6,11,random,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,2.0,2.0,1,1,C12-AA-004,0,0.0,3,1,0.25,0.0,3,1,1.0,1.0,C12-AA-002,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,11,fixed_order,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-001|C12-AA-002,1,0.1818,3,1,0.25,0.0,3,1,1.0,2.0,C12-AA-002,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,11,coverage_greedy,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,1.0,1.0,1,1,C12-AA-002,0,0.0,3,1,0.25,0.0,3,1,1.0,0.0,C12-AA-002,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,11,project05_m1,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,5.0,5.0,2,2,C12-AA-001|C12-AA-003,1,0.5,3,1,0.25,0.0,3,1,1.0,4.0,C12-AA-002,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,11,project05_m2,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,1,1,C12-AA-003,0,0.0,3,1,0.25,0.0,3,1,1.0,2.0,C12-AA-002,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,11,project05_m3a_gap_compat,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,1.0,1.0,1,1,C12-AA-002,0,0.0,3,1,0.25,0.0,3,1,1.0,0.0,C12-AA-002,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,11,m1_no_granularity,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,5.0,5.0,2,2,C12-AA-001|C12-AA-003,1,0.5,3,1,0.25,0.0,3,1,1.0,4.0,C12-AA-002,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,11,m1_no_uncertainty,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,1.0,1.0,1,1,C12-AA-002,0,0.0,3,1,0.25,0.0,3,1,1.0,0.0,C12-AA-002,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,11,m1_no_risk,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,1.0,1.0,1,1,C12-AA-002,0,0.0,3,1,0.25,0.0,3,1,1.0,0.0,C12-AA-002,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,11,m1_no_coverage,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,1.0,1.0,1,1,C12-AA-002,0,0.0,3,1,0.25,0.0,3,1,1.0,0.0,C12-AA-002,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,11,m1_no_cost,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,1,1,C12-AA-003,0,0.0,3,1,0.25,0.0,3,1,1.0,2.0,C12-AA-002,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,11,cmi_proxy,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,1.0,1.0,1,1,C12-AA-002,0,0.0,3,1,0.25,0.0,3,1,1.0,0.0,C12-AA-002,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,11,oracle_optimal,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,1.0,1.0,1,1,C12-AA-002,0,0.0,3,1,0.25,0.0,3,1,1.0,0.0,C12-AA-002,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,11,full_evidence,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,0,0,0.75,0.6667,1,0,,,,,,
C12-witfoo-precinct6-f10c7270,random,0.6,23,random,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,1,1,C12-AA-003,0,0.0,3,2,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,23,fixed_order,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,2.0,2.0,1,1,C12-AA-001,0,0.0,3,1,0.25,0.0,3,1,2.0,0.0,C12-AA-001,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,23,coverage_greedy,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,23,project05_m1,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,2.0,2.0,1,1,C12-AA-001,0,0.0,3,1,0.25,0.0,3,1,2.0,0.0,C12-AA-001,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,23,project05_m2,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,2.0,2.0,1,1,C12-AA-001,0,0.0,3,1,0.25,0.0,3,1,2.0,0.0,C12-AA-001,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,23,project05_m3a_gap_compat,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,23,m1_no_granularity,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,2.0,2.0,1,1,C12-AA-001,0,0.0,3,1,0.25,0.0,3,1,2.0,0.0,C12-AA-001,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,23,m1_no_uncertainty,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,23,m1_no_risk,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,23,m1_no_coverage,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,23,m1_no_cost,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,1,1,C12-AA-003,0,0.0,3,2,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,23,cmi_proxy,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,23,oracle_optimal,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,2.0,2.0,1,1,C12-AA-001,0,0.0,3,1,0.25,0.0,3,1,2.0,0.0,C12-AA-001,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,23,full_evidence,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,0,0,0.75,0.6667,1,0,,,,,,
C12-witfoo-precinct6-f10c7270,random,0.6,37,random,G1_technique,G1_technique,G0_unknown,G0_unknown,0,1,0,0,0,0,,2.0,,2,C12-AA-004|STOP,0,0.0,3,1,0.0,0.0,4,1,2.0,,C12-AA-001,0,1,0
C12-witfoo-precinct6-f10c7270,random,0.6,37,fixed_order,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,2.0,2.0,1,1,C12-AA-001,0,0.0,3,1,0.25,0.0,3,1,2.0,0.0,C12-AA-001,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,37,coverage_greedy,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,37,project05_m1,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,2.0,2.0,1,1,C12-AA-001,0,0.0,3,1,0.25,0.0,3,1,2.0,0.0,C12-AA-001,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,37,project05_m2,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,2.0,2.0,1,1,C12-AA-001,0,0.0,3,1,0.25,0.0,3,1,2.0,0.0,C12-AA-001,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,37,project05_m3a_gap_compat,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,37,m1_no_granularity,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,2.0,2.0,1,1,C12-AA-001,0,0.0,3,1,0.25,0.0,3,1,2.0,0.0,C12-AA-001,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,37,m1_no_uncertainty,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,37,m1_no_risk,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,37,m1_no_coverage,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,37,m1_no_cost,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,1,1,C12-AA-003,0,0.0,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,37,cmi_proxy,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,37,oracle_optimal,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,2.0,2.0,1,1,C12-AA-001,0,0.0,3,1,0.25,0.0,3,1,2.0,0.0,C12-AA-001,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,37,full_evidence,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,0,0,0.75,0.6667,1,0,,,,,,
C12-witfoo-precinct6-f10c7270,random,0.6,41,random,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,1,1,C12-AA-003,0,0.0,3,2,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,41,fixed_order,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,2.0,2.0,1,1,C12-AA-001,0,0.0,3,1,0.25,0.0,3,1,2.0,0.0,C12-AA-001,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,41,coverage_greedy,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,41,project05_m1,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,2.0,2.0,1,1,C12-AA-001,0,0.0,3,1,0.25,0.0,3,1,2.0,0.0,C12-AA-001,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,41,project05_m2,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,2.0,2.0,1,1,C12-AA-001,0,0.0,3,1,0.25,0.0,3,1,2.0,0.0,C12-AA-001,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,41,project05_m3a_gap_compat,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,41,m1_no_granularity,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,2.0,2.0,1,1,C12-AA-001,0,0.0,3,1,0.25,0.0,3,1,2.0,0.0,C12-AA-001,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,41,m1_no_uncertainty,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,41,m1_no_risk,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,41,m1_no_coverage,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,41,m1_no_cost,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,1,1,C12-AA-003,0,0.0,3,2,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,41,cmi_proxy,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-002|C12-AA-001,1,0.3636,3,1,0.25,0.0,3,1,2.0,1.0,C12-AA-001,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,41,oracle_optimal,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,2.0,2.0,1,1,C12-AA-001,0,0.0,3,1,0.25,0.0,3,1,2.0,0.0,C12-AA-001,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,41,full_evidence,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,0,0,0.75,0.6667,1,0,,,,,,
C12-witfoo-precinct6-f10c7270,random,0.6,53,random,G1_technique,G1_technique,G0_unknown,G0_unknown,0,1,0,0,0,0,,0.0,,1,STOP,0,0.0,3,0,0.0,0.0,4,1,1.0,,C12-AA-002,0,1,0
C12-witfoo-precinct6-f10c7270,random,0.6,53,fixed_order,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,2,2,C12-AA-001|C12-AA-002,1,0.1818,3,1,0.25,0.0,3,1,1.0,2.0,C12-AA-002,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,53,coverage_greedy,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,1.0,1.0,1,1,C12-AA-002,0,0.0,3,1,0.25,0.0,3,1,1.0,0.0,C12-AA-002,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,53,project05_m1,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,5.0,5.0,2,2,C12-AA-001|C12-AA-003,1,0.5,3,1,0.25,0.0,3,1,1.0,4.0,C12-AA-002,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,53,project05_m2,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,1,1,C12-AA-003,0,0.0,3,1,0.25,0.0,3,1,1.0,2.0,C12-AA-002,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,53,project05_m3a_gap_compat,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,1.0,1.0,1,1,C12-AA-002,0,0.0,3,1,0.25,0.0,3,1,1.0,0.0,C12-AA-002,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,53,m1_no_granularity,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,5.0,5.0,2,2,C12-AA-001|C12-AA-003,1,0.5,3,1,0.25,0.0,3,1,1.0,4.0,C12-AA-002,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,53,m1_no_uncertainty,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,1.0,1.0,1,1,C12-AA-002,0,0.0,3,1,0.25,0.0,3,1,1.0,0.0,C12-AA-002,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,53,m1_no_risk,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,1.0,1.0,1,1,C12-AA-002,0,0.0,3,1,0.25,0.0,3,1,1.0,0.0,C12-AA-002,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,53,m1_no_coverage,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,1.0,1.0,1,1,C12-AA-002,0,0.0,3,1,0.25,0.0,3,1,1.0,0.0,C12-AA-002,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,53,m1_no_cost,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,3.0,3.0,1,1,C12-AA-003,0,0.0,3,1,0.25,0.0,3,1,1.0,2.0,C12-AA-002,0,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,53,cmi_proxy,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,1.0,1.0,1,1,C12-AA-002,0,0.0,3,1,0.25,0.0,3,1,1.0,0.0,C12-AA-002,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,53,oracle_optimal,G1_technique,G1_technique,G0_unknown,G1_technique,1,0,1,0,1,0,1.0,1.0,1,1,C12-AA-002,0,0.0,3,1,0.25,0.0,3,1,1.0,0.0,C12-AA-002,1,0,0
C12-witfoo-precinct6-f10c7270,random,0.6,53,full_evidence,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,0,0,0.75,0.6667,1,0,,,,,,
C12-witfoo-precinct6-f10c7270,stage,0.2,11,random,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,1,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,stage,0.2,11,fixed_order,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,1,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
C12-witfoo-precinct6-f10c7270,stage,0.2,11,coverage_greedy,G1_technique,G1_technique,G1_technique,G1_technique,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,1,0,0.25,0.0,3,0,0.0,0.0,,0,0,0
